trend;plunge;pdir
058;25;w
320;34;w
310;28;w
014;24;n
050;19;w
037;24;w
328;30;e
051;31;e
310;10;w
045;22;n
296;22;e
350;01;n
344;24;e
052;38;w
042;22;w
316;17;e
003;15;e
031;15;e
031;30;e
040;11;e
053;04;e
325;23;e
271;24;e
311;34;w
068;11;e
310;18;w
347;05;e
306;45;e
058;23;w
317;12;e
039;37;e
049;43;e
286;21;e
328;01;w
038;08;e
341;13;w
324;32;w
320;30;w
336;30;e
280;01;w
013;06;e
065;35;w
075;37;w
307;42;e
314;17;e
308;12;w
044;16;e
054;32;w
310;17;e
010;33;n
036;28;e
311;38;w
057;39;w
045;07;e
022;38;w
055;38;w
307;23;w
022;38;e
045;36;w
345;36;e
020;40;w
058;40;e
288;16;e
347;40;e
070;32;w
331;07;w
062;23;w
338;02;e
041;21;w
039;24;w
290;45;e
010;34;w
338;40;e
344;25;e
320;25;w
329;41;w
304;06;e
340;11;e
335;10;e
337;39;w
075;09;e
042;34;e
068;34;e
340;02;n
335;01;s
278;10;n
068;36;w
336;35;w
331;39;e
335;11;w
329;45;e
344;40;w
030;47;w
026;09;w
081;13;e
008;35;e
330;19;w
344;01;s
030;02;n
312;29;e
337;19;w
290;34;e
025;43;e
040;06;w
044;20;e
304;09;e
320;21;w
035;27;w
055;01;e
018;18;w
036;13;e
038;31;w
038;04;e
056;40;e
348;06;e
308;25;w
044;14;e
056;10;e
328;39;w
018;46;w
031;20;e
056;01;n
029;40;e
345;32;w
024;34;e
050;45;e
325;30;s
049;19;w
341;28;w
050;20;w
066;33;n
061;08;w
038;24;e
034;23;e
071;38;s
294;36;w
347;23;w
066;02;w
074;08;w
053;15;w
065;01;w
341;25;w
023;20;w
342;28;n
309;38;e
025;20;w
049;21;w
044;34;e
333;36;e
322;06;w
287;31;e
066;34;w
332;33;e
019;32;n
047;41;w
332;13;s
045;29;w
040;10;s
286;17;e
025;38;w
318;26;e
064;04;w
323;40;e
330;14;w
052;46;e
318;09;e
056;30;e
045;38;w
071;26;w
292;39;e
306;34;n
070;10;w
308;13;w
332;11;w
292;01;s
306;02;n
280;32;s
332;06;w
075;29;s
028;40;w
040;05;w
323;05;e
318;06;w
037;32;w
298;35;e
327;06;e
020;08;e
058;08;e
069;07;w
019;32;e
340;12;w
334;36;w
331;06;e
338;39;e
040;37;e
318;39;n
332;27;w
045;15;e
064;38;w
040;15;s
331;25;w
053;19;e
339;20;e
040;23;w
337;25;e
299;42;w
053;36;w
321;19;e
085;42;w
039;33;w
044;12;e
056;02;e
051;26;e
352;31;w
085;18;w
080;39;w
031;17;n
030;01;n
045;02;s
060;03;n
324;17;w
071;41;w
063;25;e
075;32;w
298;28;w
060;18;w
077;34;w
278;43;n
045;23;w
280;07;e
280;05;w
030;41;e
321;27;w
306;26;w
340;42;e
078;35;s
334;34;e
351;23;w
029;37;w
276;05;e
078;34;e
011;20;w
350;30;w
038;37;w
071;30;e
310;12;w
040;25;e
046;38;w
322;42;n
014;21;e
021;13;w
023;06;e
292;38;n
358;33;n
314;18;w
320;42;n
318;12;w
342;17;w
315;37;e
059;13;w
334;22;n
318;12;e
294;31;e
344;28;w
022;33;e
031;39;w
011;30;e
050;42;e
036;25;e
312;26;w
025;14;w
023;14;w
030;26;e
023;38;w
052;37;e
305;31;w
322;38;w
013;03;w
285;01;n
315;02;s
027;30;e
036;23;w
306;31;w
286;13;e
051;33;w
074;20;w
045;34;e
309;29;w
286;14;e
312;49;e
326;33;w
341;14;w
040;41;e
065;29;w
320;35;w
028;16;e
045;41;e
020;02;e
035;33;w
060;28;w
035;16;w
059;24;w
055;14;e
040;35;e
330;24;w
032;10;e
046;06;e
042;10;e
040;34;e
341;36;w
320;38;e
306;29;e
271;39;w
306;30;w
292;31;e
028;27;w
025;29;w
334;38;w
042;12;e
056;32;w
328;34;w
024;43;e
050;46;e
038;45;e
050;35;e
041;33;e
329;06;e
304;18;e
328;46;w
305;16;w
026;14;w
072;42;e
289;29;e
285;15;e
320;07;e
087;05;w
041;35;w
008;36;e
041;29;e
043;17;w
331;36;e
324;31;e
066;36;w
029;18;w
326;39;w
310;20;w
322;36;w
034;18;w
036;15;e
017;04;w
299;28;e
030;28;w
035;13;w
025;27;w
315;32;e
035;28;w
020;39;w
040;01;n
282;02;s
031;39;w
320;05;w
016;31;w
306;32;e
036;30;e
309;04;e
342;23;w
309;12;e
334;43;w
019;08;w
025;28;e
277;13;e
316;25;w
316;26;w
329;44;e
028;36;w
347;43;w
338;08;w
290;14;w
048;41;e
018;12;w
305;32;s
072;06;e
287;24;e
042;27;w
289;29;e
047;19;e
340;14;e
300;05;e
025;11;w
302;39;s
309;21;w
058;13;e
336;34;w
041;04;w
325;26;w
323;21;w
048;09;e
298;10;e
336;12;w
313;03;w
041;03;w
042;32;w
312;02;w